Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Proteobacteria	Deltaproteobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	autotrophicus	Thermodesulfatator autotrophicus Lai et al. 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	prati	Sphingomonas prati Manandhar et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	aquiferis	Desulfotomaculum aquiferis Berlendis et al. 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	profundi	Desulfotomaculum profundi Berlendis et al. 2016	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Falcatimonas	natans	Falcatimonas natans Watanabe et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marinirhabdus	gelatinilytica	Marinirhabdus gelatinilytica Wu et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	iliipiscaria	Lacinutrix iliipiscaria (Shakeela et al. 2015) Nedashkovskaya et al. 2016	0.5	0	0	0	0.5	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	virosus	Pontibacter virosus Kohli et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	silvestris	Nakamurella silvestris Fran̤a et al. 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Raineyella	antarctica	Raineyella antarctica Pikuta et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Rufibacter	quisquiliarum	Rufibacter quisquiliarum Felf̦ldi et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	simiae	Peptococcus simiae Shkoporov et al. 2016	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0
Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	arctica	Marinitoga arctica Steinsbu et al. 2016	1	0	0	0	0	0	0	0	0
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	ailaaui	Acidobacterium ailaaui Myers and King 2016	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermodesulfitimonas	autotrophica	Thermodesulfitimonas autotrophica Slobodkina et al. 2017	0	0.333333333	0	0.333333333	0.333333333	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rugosibacter	aromaticivorans	Rugosibacter aromaticivorans Corteselli et al. 2017	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polynucleobacter	wuianus	Polynucleobacter wuianus Hahn et al. 2017	0	0	0.5	0	0.5	0	0	0	0
